StoreName,Locationnumber,State,BUCode,last_30d_recharge,active_days_30d,prev_30d_recharge,last_7d_recharge,days_since_last_recharge,churn_30d
Netaji Chowk Ulhasnagar Store,20522,Maharashtra,17327,-42.38,1,0.0,-42.38,0,0
Netaji Subhash Palace New Delhi,200,Delhi,111,-2796.7000000000003,1,0.0,-2796.7000000000003,0,0
New Adajan  Surat,382,Gujrat,171,-42.38,1,0.0,-42.38,0,0
New BEL Road  Devasandra  Bangalore,230,Karnataka,153,-42.38,1,0.0,-42.38,0,0
New Light Footwear JK,21527,JK,114,0.0,1,0.0,0.0,0,1
Newtown Mini,21280,West Bengal,135,-84.76,1,0.0,-84.76,0,0
NextGen ODHAV OR,20724,Gujrat,171,-42.38,1,0.0,-42.38,0,0
NextGen Wall City,20500,Rajasthan,176,-254.28000000000003,1,0.0,-254.28000000000003,0,0
Nextgen Anand GUJ,20510,Gujrat,171,-169.52,1,0.0,-169.52,0,0
Nextgen Anandmahel,11557,Gujrat,171,-254.28000000000003,1,0.0,-254.28000000000003,0,0
Nextgen Anjar AOR,20729,Gujrat,171,-211.9,1,0.0,-211.9,0,0
Nextgen Ankleshwar AOR,20730,Gujrat,171,-296.66,1,0.0,-296.66,0,0
Nextgen Bharuch AOR,20731,Gujrat,171,-254.28000000000003,1,0.0,-254.28000000000003,0,0
Nextgen Bhavnagar AOR,20840,Gujrat,171,-296.66,1,0.0,-296.66,0,0
Nextgen Bhuj AOR,20732,Gujrat,171,-254.28000000000003,1,0.0,-254.28000000000003,0,0
Nextgen Bopal AOR,20839,Gujrat,171,-211.9,1,0.0,-211.9,0,0
Nextgen Borsad AOR,20733,Gujrat,171,-42.38,1,0.0,-42.38,0,0
Nextgen Daman AOR,20834,Gujrat,171,-42.38,1,0.0,-42.38,0,0
Nextgen Deesa,22774,Gujrat,171,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Nextgen Dhebarroad AOR,20841,Gujrat,171,-339.04,1,0.0,-339.04,0,0
Nextgen Godhra AOR,20734,Gujrat,171,-254.28000000000003,1,0.0,-254.28000000000003,0,0
Nextgen Himmatnagar AOR,20843,Gujrat,171,-254.28000000000003,1,0.0,-254.28000000000003,0,0
Nextgen Jamnagar Aor,20965,Gujrat,171,-84.76,1,0.0,-84.76,0,0
Nextgen Kadi,20979,Gujrat,171,-84.76,1,0.0,-84.76,0,0
Nextgen Kalavad,20487,Gujrat,171,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Nextgen Kothi AOR,20744,Gujrat,171,-339.04,1,0.0,-339.04,0,0
Nextgen Krishnanagar AOR,20727,Gujrat,171,-42.38,1,0.0,-42.38,0,0
Nextgen Kudasan,22899,Gujrat,171,-84.76,1,0.0,-84.76,0,0
Nextgen Maninagar  Ahmedabad,942,Gujrat,171,-635.7,1,0.0,-635.7,0,0
Nextgen Modasa,22808,Gujrat,171,-42.38,1,0.0,-42.38,0,0
Nextgen Morbi AOR,20735,Gujrat,171,-127.14000000000001,1,0.0,-127.14000000000001,0,0
Nextgen MotaVaracha AOR,20835,Gujrat,171,-169.52,1,0.0,-169.52,0,0
Nextgen Mundra AOR,20736,Gujrat,171,-423.8,1,0.0,-423.8,0,0
Nextgen Narol,22912,Gujrat,171,-211.9,1,0.0,-211.9,0,0
Nextgen Nava Naroda,22805,Gujrat,171,-169.52,1,0.0,-169.52,0,0
Nextgen Navsari AOR,20737,Gujrat,171,-2583.9800000000005,1,0.0,-2583.9800000000005,0,0
